id_processo,cnpj,tj,leilao_teve,leilao_data,leilao_vendeu,upi_teve,upi_vendeu
10004847720168260538,60703188000166,SP,Não,NA,NA,Não,Não
10009264220138260152,03243940000108,SP,Não,NA,NA,Não,Não
10007312220158260529,10602152000118,SP,NA,NA,NA,NA,NA
10004613320178260624,03889440000130,SP,Não,NA,NA,Não,Não
10009581020158260659,72908239000175,SP,Não,NA,NA,Não,Não
10003744020158260562,01524043000139,SP,Não,NA,NA,Não,Não
10003735920158260108,06213025000150,SP,NA,NA,NA,NA,NA
10003173420168260191,44803666000153,SP,Não,NA,NA,Não,Não
10003156320178260180,02861225000168,SP,Não,NA,NA,Não,Não
10003156320178260180,01046824000165,SP,Não,NA,NA,Não,Não
10007643320148260695,55194534000198,SP,Não,NA,NA,Não,Não
10012789220168260152,09566698000181,SP,Não,NA,NA,Não,Não
10012789220168260152,63639868000156,SP,Não,NA,NA,Não,Não
10002836320148260568,44834968000199,SP,Não,NA,NA,Não,Não
10014614620178260405,01247578000100,SP,Não,NA,NA,Não,Não
10009716920168260369,48303333000116,SP,NA,NA,NA,NA,NA
10009716920168260369,50118389000142,SP,NA,NA,NA,NA,NA
10008567620178260510,56380132000140,SP,Não,NA,NA,Sim,Não
10011875020148260482,02845955000175,SP,NA,NA,NA,NA,NA
10003029620168260698,59363663000113,SP,Não,NA,NA,Não,Não
10003029620168260698,19248094000140,SP,Não,NA,NA,Não,Não
10002887920168260224,62207998000157,SP,Não,NA,NA,Não,Não
00223217420108260100,NA,SP,NA,NA,NA,NA,NA
10011994620148260100,00964351000112,SP,Sim,NA,NA,Não,Não
10014895920178260099,38924551000114,SP,NA,NA,NA,NA,NA
00231547320128260019,11819944000101,SP,NA,NA,NA,NA,NA
10002817620178260572,62707088000133,SP,NA,NA,NA,NA,NA
10010896720178260318,02562482000107,SP,NA,NA,NA,NA,NA
10007187320178260037,47026372000150,SP,NA,NA,NA,NA,NA
10002815320178260515,04646722000179,SP,NA,NA,NA,NA,NA
10002815320178260515,21346828000176,SP,NA,NA,NA,NA,NA
10002653720178260180,11210052000109,SP,Não,NA,NA,Não,Não
10002653720178260180,67750869000124,SP,Não,NA,NA,Não,Não
10002653720178260180,09209490000105,SP,Não,NA,NA,Não,Não
00249978720138260100,61187043000112,SP,Não,NA,NA,Sim,Não
10002193320168260358,02491616000138,SP,Não,NA,NA,Não,Não
10007438020168260309,10460416000227,SP,Não,NA,NA,Não,Não
10002037620158260629,05068650000192,SP,Não,NA,NA,Não,Não
10002037620158260629,06745682000148,SP,Não,NA,NA,Não,Não
10002037620158260629,03731548000108,SP,Não,NA,NA,Não,Não
00249525420118260100,62544887000136,SP,NA,NA,NA,NA,NA
00249395520118260100,05317471000141,SP,NA,NA,NA,NA,NA
10013801120168260348,02219054000178,SP,Não,NA,NA,Não,Não
10006029320168260654,49493653000149,SP,NA,NA,NA,NA,NA
10013369120168260606,08835377000172,SP,NA,NA,NA,NA,NA
10005496420158260358,53334157000110,SP,NA,NA,NA,NA,NA
00248067620128260100,43796341000128,SP,NA,NA,NA,NA,NA
10006427620158260180,57820698000109,SP,Não,NA,NA,Não,Não
10005090520178260070,00408307000126,SP,Não,NA,NA,Não,Não
10012071820168260176,03862847000173,SP,Não,NA,NA,Não,Não
10013290220178260045,49246432000176,SP,NA,NA,NA,NA,NA
00244160920128260100,60631090000140,SP,NA,NA,NA,NA,NA
10011275320178260650,56173370000185,SP,NA,NA,NA,NA,NA
00243012220118260100,61359485000107,SP,NA,NA,NA,NA,NA
10010934520168260543,04881347000141,SP,NA,NA,NA,NA,NA
00242239120128260100,09497766000106,SP,Não,NA,NA,Não,Não
00242239120128260100,00674835000127,SP,Não,NA,NA,Não,Não
00242239120128260100,08772381000139,SP,Não,NA,NA,Não,Não
10010625620148260038,08398568000114,SP,NA,NA,NA,NA,NA
10010625620148260038,14751654000161,SP,NA,NA,NA,NA,NA
00349680420108260100,03077142000145,SP,Não,NA,NA,Não,Não
10012341720148260161,07110993000101,SP,Não,NA,NA,Não,Não
00237449820128260100,14517350000134,SP,NA,NA,NA,NA,NA
00237431620128260100,55001705000115,SP,NA,NA,NA,NA,NA
00312509620108260100,NA,SP,Não,NA,NA,Não,Não
00296252720108260100,NA,SP,NA,NA,NA,NA,NA
00282638720108260100,NA,SP,Não,NA,NA,Não,Não
00257651820108260100,NA,SP,Não,NA,NA,Não,Não
00247199120108260100,04491132000114,SP,Não,NA,NA,Não,Não
00235925020128260100,62580360000167,SP,NA,NA,NA,NA,NA
00233878420138260100,12720841000152,SP,Não,NA,NA,Não,Não
00231898120128260100,59172791000180,SP,Não,NA,NA,Não,Não
00231071620138260100,NA,SP,NA,NA,NA,NA,NA
00225749120128260100,07586570000154,SP,Não,NA,NA,Não,Não
00185728720138260506,NA,SP,NA,NA,NA,NA,NA
00222910520118260100,01469871000111,SP,Não,NA,NA,Não,Não
00180874420138260100,04879204000103,SP,Não,NA,NA,Não,Não
00180551020118260100,67369512000109,SP,Não,NA,NA,Não,Não
00180551020118260100,01734943000100,SP,Não,NA,NA,Não,Não
00180289020128260100,NA,SP,NA,NA,NA,NA,NA
10002008820138260695,04032707000130,SP,Não,NA,NA,Não,Não
00179218020118260100,55261291000163,SP,Não,NA,NA,Não,Não
10001868220168260539,62773288000194,SP,NA,NA,NA,NA,NA
00218347020118260100,05578339000193,SP,Sim,NA,NA,Não,Não
00218347020118260100,11201379000114,SP,Sim,NA,NA,Não,Não
00213098820118260100,07350607000140,SP,Não,NA,NA,Não,Não
10001670820168260400,01784833000153,SP,Não,NA,NA,Não,Não
00207950420128260100,43225192000147,SP,Não,NA,NA,Não,Não
10001539620158260549,53798229000180,SP,Sim,NA,NA,Sim,Não
10001539620158260549,09029126000163,SP,Sim,NA,NA,Sim,Não
00206662620118260361,47355292000149,SP,Não,NA,NA,Não,Não
00202101820138260196,47962709000131,SP,Não,NA,NA,NA,Não
00200044120128260292,11354197000183,SP,Não,NA,NA,Não,Não
00192243220118260100,07686388000175,SP,Não,NA,NA,Não,Não
00192243220118260100,09146471000187,SP,Não,NA,NA,Não,Não
00191278420118260309,50936335000194,SP,NA,NA,NA,NA,NA
00191278420118260309,03954405000157,SP,NA,NA,NA,NA,NA
00189396820138260100,05222234000105,SP,Não,NA,NA,Não,Não
00187684820128260100,10705110000102,SP,Não,NA,NA,Não,Não
10001362120178260022,46732210000175,SP,Não,NA,NA,Não,Não
00019201620108260048,10638495000132,SP,Não,NA,NA,Não,Não
10001337620158260300,50423383000189,SP,Não,NA,NA,Não,Não
10001169620168260076,73047656000133,SP,Não,NA,NA,Não,Não
00010209820108260673,60918968000123,SP,Não,NA,NA,Sim,Sim
00010209820108260673,61224267000157,SP,Não,NA,NA,Sim,Sim
00010209820108260673,09222352000166,SP,Não,NA,NA,Sim,Sim
00010209820108260673,52317435000168,SP,Não,NA,NA,Sim,Sim
00010209820108260673,07420538000102,SP,Não,NA,NA,Sim,Sim
10000913920178260047,09479630000165,SP,Não,NA,NA,Não,Não
00008364720128260100,62573621000111,SP,NA,NA,NA,NA,NA
00008364720128260100,04641863000107,SP,NA,NA,NA,NA,NA
00005475520148260291,61440913000113,SP,Não,NA,NA,Não,Não
10000737420148260224,08504271000196,SP,NA,NA,NA,NA,NA
10000580820168260363,08602597000156,SP,NA,NA,NA,NA,NA
00027666920158260238,02434919000119,SP,NA,NA,NA,NA,NA
00027666920158260238,05458388000192,SP,NA,NA,NA,NA,NA
00027666920158260238,11574584000125,SP,NA,NA,NA,NA,NA
00807514820128260100,04303917000116,SP,Não,NA,NA,Não,Não
00743746120128260100,59872762000120,SP,Não,NA,NA,Não,Não
07011406320128260695,68176015000149,SP,NA,NA,NA,NA,NA
00812486220128260100,09221014000100,SP,Não,NA,NA,Não,Não
00029187120138260082,NA,SP,NA,NA,NA,NA,NA
00028991820148260539,NA,SP,NA,NA,NA,NA,NA
00028313220118260100,11385395000104,SP,NA,NA,NA,NA,NA
00027683720148260444,03027918000112,SP,Não,NA,NA,Não,Não
00027683720148260444,12415374000157,SP,Não,NA,NA,Não,Não
00027683720148260444,12514383000103,SP,Não,NA,NA,Não,Não
00027683720148260444,12237705000106,SP,Não,NA,NA,Não,Não
00177569620128260100,02388923000198,SP,NA,NA,NA,NA,NA
00022187220138260510,NA,SP,NA,NA,NA,NA,NA
00174984820138260554,17010438000153,SP,NA,NA,NA,NA,NA
00170706520138260037,64921901000107,SP,Não,NA,NA,Não,Não
00022087720158260471,NA,SP,NA,NA,NA,NA,NA
00021294420148260080,NA,SP,Não,NA,NA,Não,Não
00025118520148260452,04399024000116,SP,Não,NA,NA,Não,Não
00024153420138260152,NA,SP,NA,NA,NA,NA,NA
00024127320138260348,07033973000176,SP,Sim,NA,NA,Não,Não
00673412020128260100,61584140000149,SP,Não,NA,NA,Não,Não
00673412020128260100,04169257000122,SP,Não,NA,NA,Não,Não
00673412020128260100,02139940000191,SP,Não,NA,NA,Não,Não
00673412020128260100,45661048000189,SP,Não,NA,NA,Não,Não
00673412020128260100,60876075000162,SP,Não,NA,NA,Não,Não
00595497820138260100,61717468000196,SP,Não,NA,NA,Não,Não
00244981120108260100,NA,SP,Não,NA,NA,Não,Não
00025967020158260150,07055902000174,SP,NA,NA,NA,NA,NA
00025967020158260150,02493897000168,SP,NA,NA,NA,NA,NA
00024102320148260428,29414117000101,SP,NA,NA,NA,NA,NA
00178586120128260604,46037297000160,SP,Não,NA,NA,Não,Não
00023726920158260268,NA,SP,NA,NA,NA,NA,NA
00018276320148260549,56993900000131,SP,Não,NA,NA,Não,Não
00517118420138260100,02096649000183,SP,Não,NA,NA,Não,Não
00021157320108260315,50346824000196,SP,Sim,NA,NA,Não,Não
00170136620128260624,49669104000182,SP,Não,NA,NA,Não,Não
00165828620118260100,03829505000151,SP,NA,NA,NA,NA,NA
00165828620118260100,06214579000171,SP,NA,NA,NA,NA,NA
00162719520118260100,60673001000129,SP,Sim,NA,NA,Não,Não
00588594920138260100,10337072000182,SP,NA,NA,NA,NA,NA
00579709520138260100,55814784000183,SP,Não,NA,NA,Não,Não
00160955920138260161,10703519000190,SP,Não,NA,NA,Não,Não
00578399120118260100,00502176000141,SP,Não,NA,NA,Não,Não
00553025420138260100,12474220000136,SP,NA,NA,NA,NA,NA
00551665720138260100,60715703000128,SP,Não,NA,NA,Não,Não
00539020520138260100,54190319000156,SP,Não,NA,NA,Não,Não
00525975420118260100,03338784000150,SP,Não,NA,NA,Não,Não
00525975420118260100,05538024000112,SP,Não,NA,NA,Não,Não
00153905020138260100,58834268000109,SP,Não,NA,NA,Não,Não
00019594820138260358,NA,SP,NA,NA,NA,NA,NA
00016721120138260415,43204643000160,SP,NA,NA,NA,NA,NA
00016721120138260415,09506390000140,SP,NA,NA,NA,NA,NA
09591041520128260506,00512777000135,SP,Não,NA,NA,Não,Não
00084374220138260659,20908157000127,SP,NA,NA,NA,NA,NA
00081287820148260176,04543630000163,SP,NA,NA,NA,NA,NA
00509265920128260100,01197835000146,SP,Não,NA,NA,Não,Não
00507460920138260100,66175571000175,SP,Não,NA,NA,Não,Não
00079896520118260198,47388533000156,SP,NA,NA,NA,NA,NA
00078842420138260229,45285442000160,SP,Não,NA,NA,Não,Não
00074518720118260100,10555362000100,SP,NA,NA,NA,NA,NA
00074518720118260100,67138263000132,SP,NA,NA,NA,NA,NA
00504854920108260100,59932467000112,SP,Não,NA,NA,Não,Não
00504854920108260100,05309648000168,SP,Não,NA,NA,Não,Não
00504854920108260100,10221719000106,SP,Não,NA,NA,Não,Não
00074295320158260176,03227322000166,SP,NA,NA,NA,NA,NA
00073488020118260100,09365665000173,SP,NA,NA,NA,NA,NA
00072680420138260438,01291623000123,SP,Não,NA,NA,Não,Não
00017721920138260268,58056482000181,SP,NA,NA,NA,NA,NA
00017158020168260628,15628187000140,SP,NA,NA,NA,NA,NA
00016941520118260100,10451049000114,SP,NA,NA,NA,NA,NA
00231660920108260100,NA,SP,Não,NA,NA,Não,Não
00214556620108260100,NA,SP,NA,NA,NA,NA,NA
09025423520128260037,NA,SP,Não,NA,NA,Não,Não
10010586920168260322,13208072000170,SP,Não,NA,NA,Não,Não
09023076820128260037,NA,SP,Não,NA,NA,Não,Não
00900240920128260114,08534940000172,SP,Não,NA,NA,Não,Não
00839352820128260224,06273223000109,SP,NA,NA,NA,NA,NA
00741190620128260100,52871407000198,SP,Não,NA,NA,Não,Não
00641116720128260100,52908423000108,SP,Não,NA,NA,Não,Não
00237610820108260100,NA,SP,Não,NA,NA,Não,Não
00575473820138260100,01138739000127,SP,Não,NA,NA,Não,Não
00015368820138260358,08891204000171,SP,NA,NA,NA,NA,NA
00571221120138260100,61116075000127,SP,Não,NA,NA,Não,Não
00015280520128260146,44167252000185,SP,Sim,NA,NA,Sim,Sim
00071906720108260453,NA,SP,Sim,NA,NA,NA,Não
00069499120138260161,08792986000191,SP,NA,NA,NA,NA,NA
00069231620128260198,43081421000105,SP,NA,NA,NA,NA,NA
00014248820118260100,10688639000165,SP,NA,NA,NA,NA,NA
00014226020138260032,NA,SP,NA,NA,NA,NA,NA
00066885220128260100,08618079000120,SP,NA,NA,NA,NA,NA
00062778920158260201,03235469000106,SP,Não,NA,NA,Sim,Sim
00059927920158260045,11113342000134,SP,NA,NA,NA,NA,NA
