id_processo,status,area,assunto,vara,data_hora,controle,incidente,processo_principal,recebido_em,processo,cdp,digital,classe,distribuicao,juiz,local_fisico,execucao_de_sentenca,erro,valor_da_acao,outros_numeros,dados_da_precatoria,outros_assuntos,apensado_ao,acao_incidental,cdas,entranhado_ao
1007311-84.2020.8.26.0564,,Civel,"Defeito, nulidade ou anulacao",10ª Vara de Fazenda Publica - Foro Central - Fazenda Publica/Acidentes,03/06/2020 as 08:49 - Livre,2020/001273,NA,NA,NA,1007311-84.2020.8.26.0564,NA,TRUE,Procedimento Comum Civel,03/06/2020 as 08:49 - Livre | 10ª Vara de Fazenda Publica - Foro Central - Fazenda Publica/Acidentes,Otavio Tioiti Tokuda,NA,NA,NA,"R$ 50.000,00",NA,NA,Indenizacao por Dano Moral,NA,NA,NA,NA
1007314-47.2018.8.26.0002,,Civel,Antecipacao de Tutela / Tutela Especifica,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,08/03/2018 as 10:33 - Livre,2018/000130,NA,NA,NA,1007314-47.2018.8.26.0002,NA,TRUE,Tutela Antecipada Antecedente,08/03/2018 as 10:33 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 25.000,00",NA,NA,NA,NA,NA,NA,NA
1007351-34.2019.8.26.0004,Extinto,Civel,Inventario e Partilha,9ª Vara da Familia e Sucessoes - Foro Central Civel,28/11/2019 as 13:16 - Direcionada,2019/001246,NA,NA,NA,1007351-34.2019.8.26.0004 Extinto,NA,TRUE,Arrolamento Comum,28/11/2019 as 13:16 - Direcionada | 9ª Vara da Familia e Sucessoes - Foro Central Civel,Jose Walter Chacon Cardoso,NA,NA,NA,"R$ 1.000,00",0047357-15.2019.8.26.0000,NA,NA,NA,NA,NA,NA
1007358-37.2018.8.26.0529,Em grau de recurso,Civel,Antecipacao de Tutela / Tutela Especifica,1ª Vara Judicial - Foro de Santana de Parnaiba,25/10/2018 as 18:46 - Livre,2018/008062,NA,NA,NA,1007358-37.2018.8.26.0529 Em grau de recurso,NA,FALSE,Tutela Antecipada Antecedente,25/10/2018 as 18:46 - Livre | 1ª Vara Judicial - Foro de Santana de Parnaiba,Natalia Assis Mascarenhas,NA,NA,NA,"R$ 1.000,00",NA,NA,NA,NA,NA,NA,NA
1007364-04.2018.8.26.0704,,Civel,Indenizacao por Dano Moral,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,19/11/2018 as 10:49 - Livre,2018/000982,NA,NA,NA,1007364-04.2018.8.26.0704,NA,TRUE,Procedimento Comum Civel,19/11/2018 as 10:49 - Livre | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Eduardo Palma Pellegrinelli,NA,NA,NA,"R$ 50.000,00",NA,NA,Indenizacao por Dano Material,NA,NA,NA,NA
1007379-70.2018.8.26.0704,Extinto,Civel,Em comum / De fato,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,08/11/2018 as 13:39 - Livre,2018/000951,NA,NA,NA,1007379-70.2018.8.26.0704 Extinto,NA,TRUE,Procedimento Comum Civel,08/11/2018 as 13:39 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 36.200,00",NA,NA,Dissolucao,NA,NA,NA,NA
1007384-90.2020.8.26.0100,,Civel,Franquia,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,29/01/2020 as 18:01 - Livre,2020/000074,NA,NA,NA,1007384-90.2020.8.26.0100,NA,TRUE,Tutela Antecipada Antecedente,29/01/2020 as 18:01 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 4.680,93",NA,NA,Liminar,NA,NA,NA,NA
1007386-94.2019.8.26.0100,,Civel,Apuracao de haveres,3ª Vara Civel - Foro Regional IX - Vila Prudente,01/04/2019 as 10:09 - Livre,2019/000446,NA,NA,NA,1007386-94.2019.8.26.0100,NA,TRUE,Procedimento Comum Civel,01/04/2019 as 10:09 - Livre | 3ª Vara Civel - Foro Regional IX - Vila Prudente,Claudia Sarmento Monteleone,NA,NA,NA,"R$ 12.440,00",NA,NA,Em comum / De fato,NA,NA,NA,NA
1007403-53.2014.8.26.0344,Extinto,Civel,Efeito Suspensivo / Impugnacao / Embargos a Execucao,1ª Vara Civel - Foro de Marilia,01/07/2014 as 18:42 - Dependencia (1005688-73.2014.8.26.0344),2014/000919,NA,NA,NA,1007403-53.2014.8.26.0344 Extinto,NA,TRUE,Embargos a Execucao,01/07/2014 as 18:42 - Dependencia (1005688-73.2014.8.26.0344) | 1ª Vara Civel - Foro de Marilia,Paula Jacqueline Bredariol de Oliveira,NA,NA,NA,"R$ 21.000,00",NA,NA,Extincao da Execucao,NA,NA,NA,NA
1007424-37.2018.8.26.0005,Extinto,Civel,Liminar,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,22/05/2018 as 09:39 - Livre,2018/000367,NA,NA,NA,1007424-37.2018.8.26.0005 Extinto,NA,TRUE,Tutela Cautelar Antecedente,22/05/2018 as 09:39 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 13.000,00",NA,NA,NA,NA,NA,NA,NA
1007427-27.2020.8.26.0100,,Civel,Ingresso e Exclusao dos Socios na Sociedade,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,29/01/2020 as 18:00 - Dependencia (1131911-85.2018.8.26.0100),2020/000078,NA,NA,NA,1007427-27.2020.8.26.0100,NA,TRUE,Dissolucao Parcial de Sociedade,29/01/2020 as 18:00 - Dependencia (1131911-85.2018.8.26.0100) | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,LUIS FELIPE FERRARI BEDENDI,NA,NA,NA,"R$ 50.000,00",NA,NA,NA,NA,NA,NA,NA
