tipo_andamento,classe,num_processo,link,relator,data_autuacao,data_baixa,meio_processo,grupo_origem,assunto_completo,com_pedido_vista,merito_pendente,ramo_direito,em_tramitacao,qtd_processos
recebido,AC,4007,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4868296,-,15/10/2015,06/10/2016,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || INDISPONIBILIDADE / SEQÜESTRO DE BENS,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4051,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4900436,-,04/12/2015,-,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Sim,1
recebido,AC,4058,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4902839,-,09/12/2015,12/08/2021,Eletrônico,Originária,0 - DIREITO PROCESSUAL PENAL || AÇÃO PENAL || PROVAS,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4156,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4969970,-,25/04/2016,22/10/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || BUSCA E APREENSÃO DE BENS,Não,Sim,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4162,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4978137,-,06/05/2016,20/11/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Sim,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4173,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4987795,-,23/05/2016,02/02/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4174,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4987860,-,23/05/2016,25/08/2016,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4175,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4987888,-,23/05/2016,04/10/2016,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4182,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4998788,-,09/06/2016,04/05/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || INDISPONIBILIDADE / SEQÜESTRO DE BENS,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4276,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5076948,-,18/10/2016,08/02/2023,Eletrônico,Originária,1 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4297,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5112058,-,16/12/2016,-,Eletrônico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || BUSCA E APREENSÃO DE BENS,Não,Sim,DIREITO PROCESSUAL PENAL,Sim,1
recebido,AC,4307,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5145252,-,09/03/2017,27/05/2021,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || BUSCA E APREENSÃO DE BENS,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4308,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5145277,-,09/03/2017,15/08/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || BUSCA E APREENSÃO DE BENS,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4313,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5154853,-,21/03/2017,12/11/2019,Físico,Originária,1 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL || QUEBRA DO SIGILO BANCÁRIO,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4321,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5181456,-,04/05/2017,11/02/2021,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4322,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5182192,-,05/05/2017,03/03/2021,Eletrônico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4323,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5182195,-,05/05/2017,18/10/2017,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4324,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5187977,-,15/05/2017,06/03/2019,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4325,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5187999,-,15/05/2017,11/04/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4327,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5188006,-,15/05/2017,27/05/2019,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4329,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5188047,-,15/05/2017,07/05/2018,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
